run_id,itr,counts(idx=0),counts(idx=1),counts(idx=2),counts(idx=3),counts(idx=4),counts(idx=5),counts(idx=6),counts(idx=7),counts(idx=8),counts(idx=9),counts(idx=10),counts(idx=11),counts(idx=12),counts(idx=13),counts(idx=14),counts(idx=15),counts(idx=16),counts(idx=17),counts(idx=18),counts(idx=19)
35e85ba1-0b04-43e8-b95d-cd57e275ef26,18,77,2,0,0,0,3,0,1,1,3,3,0,0,2,0,0,1,3,1,3
35e85ba1-0b04-43e8-b95d-cd57e275ef26,19,66,3,0,2,0,3,2,2,1,3,4,1,1,3,1,0,1,3,1,3
9297e856-2aa2-4dae-931d-45fb2c0270e7,17,43,1,3,1,8,4,3,0,6,1,3,3,1,3,2,3,3,5,4,3
35e85ba1-0b04-43e8-b95d-cd57e275ef26,20,53,2,0,2,1,2,2,1,3,5,4,3,2,4,2,0,3,5,3,3
9297e856-2aa2-4dae-931d-45fb2c0270e7,18,77,1,2,2,1,1,2,2,2,2,2,0,0,3,1,0,0,1,0,1
9297e856-2aa2-4dae-931d-45fb2c0270e7,19,65,2,2,2,1,2,3,2,4,1,1,3,0,2,1,1,3,1,2,2
b660d58f-faab-4a24-9c27-a7de20f1b882,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
9297e856-2aa2-4dae-931d-45fb2c0270e7,20,50,3,4,1,2,1,5,3,6,2,2,4,0,2,2,2,5,1,2,3
b660d58f-faab-4a24-9c27-a7de20f1b882,1,77,2,0,3,2,0,2,2,0,1,0,1,1,2,1,1,1,1,0,3
b660d58f-faab-4a24-9c27-a7de20f1b882,2,65,3,0,3,2,2,2,4,1,1,0,2,1,4,2,1,3,1,1,2
b660d58f-faab-4a24-9c27-a7de20f1b882,3,55,4,0,2,1,3,1,4,1,2,1,3,2,4,5,1,4,3,2,2
b660d58f-faab-4a24-9c27-a7de20f1b882,4,45,3,4,2,3,5,2,5,0,2,1,3,3,3,6,3,6,3,1,0
b660d58f-faab-4a24-9c27-a7de20f1b882,5,84,0,2,1,1,0,0,1,3,0,1,1,1,0,1,1,3,0,0,0
b660d58f-faab-4a24-9c27-a7de20f1b882,6,66,2,1,2,3,1,4,3,4,0,1,2,3,0,2,2,2,1,1,0
b660d58f-faab-4a24-9c27-a7de20f1b882,7,57,3,1,4,2,2,5,4,5,0,2,2,3,1,2,2,2,1,2,0
b660d58f-faab-4a24-9c27-a7de20f1b882,8,42,3,2,5,2,4,6,3,8,0,4,2,5,2,0,3,3,3,2,1
